caller,recipient,type,duration,timestamp,cost
+1234567890,+1987654321,voice,120,2024-01-15 09:30:00,0.50
+1234567890,+1555123456,sms,0,2024-01-15 09:35:00,0.10
+1987654321,+1234567890,voice,300,2024-01-15 10:00:00,1.25
+1555123456,+1234567890,voice,180,2024-01-15 10:30:00,0.75
+1234567890,+1987654321,voice,90,2024-01-15 11:00:00,0.38
+1999888777,+1234567890,voice,450,2024-01-15 11:30:00,1.88
+1234567890,+1555123456,sms,0,2024-01-15 12:00:00,0.10
+1987654321,+1999888777,voice,210,2024-01-15 12:30:00,0.88
+1555123456,+1987654321,voice,150,2024-01-15 13:00:00,0.63
+1234567890,+1999888777,voice,240,2024-01-15 13:30:00,1.00
+1999888777,+1555123456,voice,330,2024-01-15 14:00:00,1.38
+1234567890,+1987654321,sms,0,2024-01-15 14:30:00,0.10
+1987654321,+1234567890,voice,60,2024-01-15 15:00:00,0.25
+1555123456,+1999888777,voice,420,2024-01-15 15:30:00,1.75
+1234567890,+1987654321,voice,195,2024-01-15 16:00:00,0.81
